Geo Point;Geo Shape;annee;borne_eau;eclairage;id_ajeu;nom;nom_voie;notes;numero;photo;sev;echelle;espace_publique;numsite;nuquart;nusect;objectid
48.0858428331, -1.66175921131;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.661682834984448, 48.085762655248736], [-1.661685962064627, 48.085731462287825], [-1.661888209024715, 48.085733296295125], [-1.661886625597368, 48.085751358459184], [-1.661882565142944, 48.08577220538424], [-1.661874557072254, 48.08579768984881], [-1.661852991477694, 48.085833991032395], [-1.661838300197445, 48.08585817242622], [-1.66183014853818, 48.08588177046763], [-1.661828058294161, 48.085912634836916], [-1.661824119455011, 48.085943922004326], [-1.661817258542778, 48.085959732918646], [-1.661808458397125, 48.08597479981984], [-1.661640728244455, 48.08594187267179], [-1.661661420249141, 48.085830053333076], [-1.661671309692272, 48.0858030490638], [-1.661679089840053, 48.08578322716258], [-1.661682834984448, 48.085762655248736]]]]}";0;;;215;ALLEE DE GENEVE;;;1348AJEUX01;;Equipe 24;500;OUI;1348;11;24;225
48.1000170571, -1.70721586766;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.707049337604452, 48.09997695657109], [-1.7070372440551, 48.09996476791757], [-1.70713573765303, 48.099950296539724], [-1.707182688700196, 48.099949037190996], [-1.70720821352411, 48.099950587150936], [-1.707234464091686, 48.099956345249396], [-1.707245332197814, 48.09995957218652], [-1.70725152726058, 48.099963230170744], [-1.70727102969305, 48.09996336780638], [-1.707276077519811, 48.099960852490106], [-1.707278928504767, 48.09995246997538], [-1.70733736539282, 48.099976476480556], [-1.707399321836991, 48.10000081100708], [-1.707356297944314, 48.10001643171794], [-1.70731740923199, 48.10003163888094], [-1.707274062567381, 48.100050061673606], [-1.707241316101317, 48.10007523213286], [-1.707222368332542, 48.10009803535038], [-1.707210527948193, 48.10011888320072], [-1.70720725857801, 48.10014249247181], [-1.707172685017097, 48.100147496368315], [-1.707168003111338, 48.100147992654215], [-1.707177583016686, 48.10011173578946], [-1.707176830944555, 48.10010194732468], [-1.70716243246745, 48.10008425544632], [-1.707144385597925, 48.10006281841668], [-1.707135804738758, 48.10005086890113], [-1.707130977111932, 48.10003527845083], [-1.707126517237474, 48.10001571351894], [-1.707122762681142, 48.10000359701361], [-1.707112947559522, 48.09999133038926], [-1.707098202359164, 48.09998310521581], [-1.707083703694546, 48.09997811209471], [-1.707066391964137, 48.09997672861569], [-1.707049337604452, 48.09997695657109]]]]}";0;;;155;OPHLMM - SQUARE DE KOUFFRA;;;1201AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/120101.jpg;Equipe 12;500;OUI;1201;9;12;50
48.1030508908, -1.69254528087;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.692500758052718, 48.103082419448015], [-1.69249541506333, 48.103023176634295], [-1.692589761643471, 48.10301939406042], [-1.69259523336788, 48.10307854241183], [-1.692500758052718, 48.103082419448015]]]]}";0;;;48;SQUARE RAYMOND ARON;;;1190AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/119001.jpg;Equipe 10;500;OUI;1190;9;10;49
48.1305478929, -1.70104168005;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.700885176861485, 48.13051477663342], [-1.700965872444893, 48.13044816195075], [-1.701122706716378, 48.13053586346292], [-1.701129871697677, 48.13053984898658], [-1.701179768850934, 48.130567843777534], [-1.701146653092291, 48.13064803791777], [-1.701145909596225, 48.13064887387754], [-1.701127589667203, 48.130645002755834], [-1.701120321871421, 48.130643181340446], [-1.701112024597879, 48.13064022608099], [-1.701106197271814, 48.130637905159794], [-1.701097831537041, 48.13063405160993], [-1.701089135816001, 48.130629398765315], [-1.700885176861485, 48.13051477663342]]]]}";0;;;120;GROUPE SCOLAIRE SONIA DELAUNAY;;;1304AJEUX01;;Equipe 25;500;NON;1304;10;25;78
48.0906087635, -1.65196829046;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.651888013599667, 48.090677026248336], [-1.651892920366322, 48.090537840937436], [-1.652048080944008, 48.09054057512857], [-1.65204434759141, 48.090679270548655], [-1.651888013599667, 48.090677026248336]]]]}";0;;;196;PLACE DU LANDREL;;;1339AJEUX01;;Equipe 21;500;OUI;1339;11;21;318
48.1057329728, -1.69613651387;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.696005245701375, 48.105731909136026], [-1.696123965919439, 48.105698766518884], [-1.696124063378966, 48.10569893554696], [-1.696162729384831, 48.1057566585899], [-1.696042477251118, 48.10579320595329], [-1.696005245701375, 48.105731909136026]]], [[[-1.69618753384166, 48.10574911970085], [-1.696149042725619, 48.10569176617652], [-1.696177402233231, 48.10568384959247], [-1.696188911592167, 48.10570596344752], [-1.696276062697558, 48.10568189650105], [-1.696294957964731, 48.10571618151432], [-1.696296029594033, 48.1057161449483], [-1.69618753384166, 48.10574911970085]]]]}";0;Non;Non;549;SQUARE DES LAURIERS;;;1189AJEUX01;;Equipe 10;500;OUI;1189;9;10;100
48.0887741117, -1.6556876288;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.655617878762173, 48.0886670894914], [-1.655650151447952, 48.088662029270395], [-1.655840568672106, 48.08866544745013], [-1.655837819240146, 48.08874612559427], [-1.655833212405979, 48.08888025886345], [-1.655524205164639, 48.08887430612281], [-1.655526269382301, 48.08879698338975], [-1.655524934958191, 48.08875282047981], [-1.655526684317656, 48.08873691433791], [-1.655541806795739, 48.088716591021324], [-1.655574150500154, 48.08868766689617], [-1.655616301826437, 48.0886711054319], [-1.655617878762173, 48.0886670894914]]]]}";0;;;198;SQUARE DE BOSNIE;;;1340AJEUX01;;Equipe 21;500;OUI;1340;11;21;155
48.1326552093, -1.64308476541;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.642947846581123, 48.13282930213729], [-1.642914446655515, 48.13282872469102], [-1.642880314992288, 48.13283447417831], [-1.642851557761325, 48.13284013108044], [-1.642724946266655, 48.13282885029563], [-1.642731355122925, 48.132769569534275], [-1.642751284309546, 48.132659680982286], [-1.642754658087852, 48.13265272389818], [-1.642760512796281, 48.13264478275602], [-1.642771594859688, 48.132638374157], [-1.642799182022861, 48.132629695533595], [-1.64279611723601, 48.13262295686679], [-1.642822560638441, 48.132616927521944], [-1.642827036179296, 48.13262451930462], [-1.642848312847329, 48.1326177650062], [-1.642874040903556, 48.13260050595373], [-1.642882810117703, 48.13258130123252], [-1.64288438746563, 48.13256837243508], [-1.642879332828672, 48.13255134755142], [-1.642869304906783, 48.13253791223154], [-1.642855195274048, 48.13252209439882], [-1.642865259745456, 48.132518241679726], [-1.642863660212713, 48.13251487415587], [-1.642878701277375, 48.13250923202783], [-1.642882849104464, 48.13251251291644], [-1.6428977559708, 48.132506875301225], [-1.64290311147797, 48.13251011465316], [-1.642919425698366, 48.13250352909694], [-1.643079811829051, 48.13245658586938], [-1.643137221252243, 48.13246047410725], [-1.643595219482752, 48.13266299064499], [-1.643514536191227, 48.13272981464833], [-1.64333266816906, 48.13269983196981], [-1.643319685184383, 48.13269712127974], [-1.643292519542355, 48.1326918303157], [-1.643265512385004, 48.132690405644404], [-1.643243626113924, 48.13269267849581], [-1.643198873155929, 48.13270203029352], [-1.643134368774178, 48.132727627753034], [-1.643096632815339, 48.13275150676823], [-1.643076264335725, 48.13277560653152], [-1.643066536867499, 48.13280168618208], [-1.643065724238906, 48.132821161751764], [-1.643070217990546, 48.1328343347714], [-1.643076089331333, 48.13284971110909], [-1.643091661669972, 48.13287952439498], [-1.643068777362467, 48.13288282233684], [-1.643057049252142, 48.13288069890576], [-1.643042439779608, 48.132874262232114], [-1.643026302902286, 48.13286364508305], [-1.64300084672064, 48.132850733383776], [-1.642976671726051, 48.13283696713572], [-1.642947846581123, 48.13282930213729]]]]}";0;;;326;PARC DES GAYEULLES ZONE DE JEUX;;;1407AJEUX02;;Equipe 14;500;OUI;1407;5;14;167
48.1115734507, -1.6734257316;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.673350787414064, 48.11163248353668], [-1.67334726498838, 48.11160037104942], [-1.673313715060491, 48.11160295830204], [-1.673300956516978, 48.11159961306158], [-1.673287943946309, 48.11159294508137], [-1.673283205690228, 48.11158545422502], [-1.673281242354339, 48.111564992298064], [-1.673292264477187, 48.11155083992624], [-1.673304292551512, 48.11154637733732], [-1.67332539591023, 48.11154277405331], [-1.673358027216324, 48.111540488146154], [-1.673356050261516, 48.111519846558394], [-1.673395399214374, 48.11151751107263], [-1.673532011286218, 48.11151238917836], [-1.673540740040481, 48.11162688857461], [-1.673350787414064, 48.11163248353668]]]]}";2000;Non;Non;5;JARDIN SAINT-GEORGES;;;0231AJEUX01;;Equipe 05;1000;OUI;0231;2;5;130
48.1140856092, -1.6677863304;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.66802789213014, 48.11416289112701], [-1.668058612185986, 48.114164028248446], [-1.668075058141645, 48.11416479060357], [-1.668073037983145, 48.11418966727924], [-1.667917781851267, 48.11418929483777], [-1.667902238354709, 48.11421424291492], [-1.667888846301222, 48.114231475219455], [-1.66786569343835, 48.11425101131244], [-1.667837939911615, 48.11426691904098], [-1.667808251908415, 48.114277183514155], [-1.667781185749274, 48.11428495822779], [-1.667751862840402, 48.114291392747774], [-1.667720648545357, 48.11429265982727], [-1.6676955603913, 48.11429081733526], [-1.667668258652052, 48.11428811136372], [-1.667634635529509, 48.11427850931526], [-1.66760460284185, 48.114269239080755], [-1.667579019810335, 48.11425406554507], [-1.667565304073238, 48.114244132068066], [-1.667553889323315, 48.114236012747796], [-1.66754146303375, 48.11422459693484], [-1.667530112423724, 48.11420932234087], [-1.667524114627493, 48.114198122250336], [-1.667517901811295, 48.11418454666478], [-1.667512655594856, 48.11415805830261], [-1.667514611888256, 48.114140336907994], [-1.667516223468904, 48.11413454971805], [-1.667519533946207, 48.11412392512245], [-1.667522715457411, 48.11411187576853], [-1.667530067449831, 48.11409870289961], [-1.667535506943354, 48.11408799278478], [-1.667480428643345, 48.114061619603284], [-1.667475720229185, 48.114048936279815], [-1.667510073549499, 48.11401940963777], [-1.667534193733741, 48.11400269613993], [-1.667564162124951, 48.11398765190546], [-1.667594838356259, 48.11397257892984], [-1.667632588102489, 48.11396484814879], [-1.667667544035065, 48.11395770742748], [-1.667699424337086, 48.113955936654584], [-1.667753727798068, 48.11395802318936], [-1.667808203307677, 48.11396201027348], [-1.667850658841266, 48.113856818203594], [-1.667930415336694, 48.11385691807196], [-1.66798777053138, 48.11386126483123], [-1.668037760850381, 48.11387113403281], [-1.66809098195644, 48.1138923597616], [-1.667956193708471, 48.113992240899655], [-1.667965975028607, 48.11399804226656], [-1.667978573408182, 48.11401135860891], [-1.667995383993909, 48.11402402728952], [-1.668008734578921, 48.11403778975752], [-1.668021332979227, 48.11405110609509], [-1.66803047003503, 48.11406551627623], [-1.668042379832973, 48.11408696656643], [-1.668049688994044, 48.11410478850396], [-1.668056634408645, 48.11412644032614], [-1.668058311630358, 48.11414496756106], [-1.668057859992203, 48.11416358211986], [-1.66802789213014, 48.11416289112701]]]]}";2014;;;139;PARC DU THABOR;de la Palestine;;0587AJEUX01;;Equipe 01;500;OUI;0587;2;1;1980
48.0982964729, -1.67626688873;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.676430076997601, 48.09833143250121], [-1.676101679151885, 48.09836718255328], [-1.676081574101443, 48.098284101227456], [-1.676229892787795, 48.09826752066772], [-1.676224421640959, 48.098247915957884], [-1.676259619798439, 48.09824442063826], [-1.67625622835753, 48.098229935941646], [-1.676269573360769, 48.098229011911194], [-1.676387832637864, 48.09821593097447], [-1.676401236882104, 48.098215185634785], [-1.676430076997601, 48.09833143250121]]]]}";2015;;;987;JARDIN ALBERT RENOUF;;;0035AJEUX01;;Equipe 34;;;0035;8;34;2796
48.1034214503, -1.68221474558;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.682163826200451, 48.10343953272222], [-1.68218836894924, 48.10338772941204], [-1.682239948876136, 48.10339775719996], [-1.682265836839236, 48.10340407275801], [-1.682240456751823, 48.10345545424443], [-1.682163826200451, 48.10343953272222]]]]}";0;;;38;RESIDENCE LOGEMENT COLOMBIER;;;0065AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/006501.jpg;Equipe 10;500;OUI;0065;1;10;187
48.0902019569, -1.6575986817;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.657478511370309, 48.09028426458791], [-1.657482293417721, 48.0901643707223], [-1.657558193287072, 48.09014244026444], [-1.657700441179014, 48.09009896717678], [-1.657780031624105, 48.09011885407713], [-1.657752139167643, 48.09016923569815], [-1.657719997067173, 48.090161867310975], [-1.657706258942519, 48.090184484800744], [-1.657638809902422, 48.090166974817215], [-1.65761211215289, 48.090213623531334], [-1.657645200768031, 48.09022285033284], [-1.657620329000318, 48.09026700659499], [-1.657654020419928, 48.090275312408515], [-1.657628647462685, 48.09031993590935], [-1.657618015861581, 48.090317404943896], [-1.657600583551011, 48.09031281040416], [-1.657478511370309, 48.09028426458791]]]]}";0;;;394;CRECHE HENRI WALLON;;;0010AJEUX02;;Equipe 21;500;NON;0010;11;21;283
48.0863654499, -1.65877642252;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.658607119971057, 48.08623892148653], [-1.658597201202352, 48.08616137686712], [-1.658599077694467, 48.08615068805137], [-1.658604370156558, 48.0861336704461], [-1.658611003351641, 48.08611660750346], [-1.65865884295729, 48.086121909244646], [-1.658662620620576, 48.08613096500405], [-1.65866558321978, 48.08613635582939], [-1.658671683647778, 48.08614236103603], [-1.65868154340603, 48.08614832738738], [-1.658688698954929, 48.08615231558758], [-1.658699601640937, 48.08615608521291], [-1.658714229986881, 48.086159368615384], [-1.65872752853012, 48.08616107589397], [-1.658750000887099, 48.08616148049261], [-1.658792524326097, 48.0861604811735], [-1.65881243456607, 48.08615899195831], [-1.658855459122149, 48.086157525373146], [-1.65886543989771, 48.08615799570879], [-1.658897271216181, 48.08616132239088], [-1.658906845530214, 48.08616351671998], [-1.658920389034541, 48.086168457883375], [-1.658938002855917, 48.08617920180001], [-1.65895012116055, 48.0861901333534], [-1.658957531882629, 48.08620455725033], [-1.658962134802046, 48.086224478840265], [-1.65896514958213, 48.086239412534795], [-1.658966259607065, 48.086262874542456], [-1.658964035101884, 48.08627429562435], [-1.658959765357985, 48.086288847022075], [-1.658950540335646, 48.08632310647405], [-1.658944459750556, 48.08635806833567], [-1.65894321517258, 48.0863753075209], [-1.658944386832066, 48.08639075475187], [-1.658950140663554, 48.086413428396355], [-1.65895738567207, 48.08643452059148], [-1.65895913965549, 48.08644877643448], [-1.658966505747937, 48.08648030887588], [-1.658967400869744, 48.08649918686192], [-1.65896526351285, 48.08652059813115], [-1.658959346495411, 48.086541778767675], [-1.658955941548155, 48.08654648700462], [-1.658949035571758, 48.086554645881], [-1.658934882657293, 48.086566473026245], [-1.658915138091601, 48.086577230210295], [-1.658888390713496, 48.08658777658406], [-1.658851723285665, 48.086598660208175], [-1.658840492407814, 48.086599403819626], [-1.65882821718129, 48.08660234331204], [-1.65882281336461, 48.08660549803973], [-1.658760341530175, 48.08660393601197], [-1.658753037429633, 48.0865944609393], [-1.658735137574729, 48.08658525679321], [-1.658704040577352, 48.086575692848676], [-1.658656930956384, 48.08656406307051], [-1.658604785839726, 48.08655692646152], [-1.6586013727126, 48.0865296715193], [-1.658615446612048, 48.0865238793536], [-1.658630987153676, 48.08650201039284], [-1.658636287747782, 48.086485082565254], [-1.658635209570644, 48.086470893037564], [-1.658628707839814, 48.086454277828395], [-1.658616647065975, 48.08643524062701], [-1.658603644784734, 48.0864197467342], [-1.658598888071722, 48.08641018461335], [-1.658593391606205, 48.086389123344254], [-1.658593858462965, 48.08636164624822], [-1.658592850563881, 48.086348354036154], [-1.658588363263534, 48.0863405840266], [-1.658572476698969, 48.086322487630746], [-1.658558736956541, 48.086316743421754], [-1.658560214589673, 48.086283108921045], [-1.658579446889572, 48.08627624083518], [-1.658593320639524, 48.08626604336295], [-1.658601631186598, 48.08625513518908], [-1.658607119971057, 48.08623892148653]]]]}";0;;;387;GROUPE SCOLAIRE TORIGNE;;;0002AJEUX02;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/000201.jpg;Equipe 21;500;NON;0002;11;21;302
48.1329988422, -1.6542721715;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.654247234175999, 48.13302671851934], [-1.654244727624625, 48.13297242241693], [-1.654297934273934, 48.132971693301776], [-1.654299152017522, 48.13302495307866], [-1.654247234175999, 48.13302671851934]]]]}";0;;;397;SQUARE DE SENDAI;;;0120AJEUX02;;Equipe 29;500;OUI;0120;5;29;299
48.0855084549, -1.68461798957;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.684575389832388, 48.08540309147059], [-1.684612086014854, 48.08540147217837], [-1.684639345957282, 48.08540296871358], [-1.684664711916272, 48.08540605987377], [-1.684685898063283, 48.08541073521446], [-1.684705578896504, 48.08541681272728], [-1.684726527787146, 48.08542716915686], [-1.684745575972112, 48.08543903128236], [-1.684761035041819, 48.08545317708502], [-1.68477286893021, 48.08546735802891], [-1.684781496813043, 48.08548353941301], [-1.68478550853155, 48.08550086862726], [-1.684784866881658, 48.085520609607656], [-1.684782332417888, 48.08553492302343], [-1.684775407788139, 48.08554983710903], [-1.684766790485556, 48.085561927714046], [-1.684754369654797, 48.085575229436806], [-1.684738191514047, 48.08558685962546], [-1.684710571518149, 48.08560176400395], [-1.684693418525916, 48.08560766428174], [-1.684670374843874, 48.08561385784563], [-1.684649472691639, 48.08561817635792], [-1.684581056012708, 48.085616202091906], [-1.684545732739628, 48.08560570529488], [-1.684516429993077, 48.085589516926056], [-1.684493852371262, 48.08557739674599], [-1.684471069042419, 48.08556259611196], [-1.684460715789296, 48.085542533783496], [-1.68445163457866, 48.085518129542564], [-1.684450632927103, 48.08549452232078], [-1.684453370953963, 48.085480479954356], [-1.684461588265013, 48.085470204243265], [-1.684474832973075, 48.085448320386156], [-1.684483611558757, 48.08543658366417], [-1.68449761877227, 48.08542466805298], [-1.684521195144176, 48.08541314452047], [-1.684548500393322, 48.08540644567218], [-1.684575389832388, 48.08540309147059]]]]}";0;;;246;SQUARE DE NARVIK;;;0032AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/003202.jpg;Equipe 17;500;OUI;0032;12;17;104
48.1059015452, -1.68391005007;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.683897037914189, 48.1058482544033], [-1.683903453858759, 48.10584776413974], [-1.683909890242508, 48.1058475433671], [-1.683916494814417, 48.10584776718305], [-1.683922851580454, 48.10584826961625], [-1.683929235599151, 48.10584913137083], [-1.683935512747993, 48.10585035700993], [-1.683941543350162, 48.105851860314004], [-1.683947465823816, 48.105853728455045], [-1.683953007709839, 48.10585587972208], [-1.683958308522188, 48.10585839853923], [-1.683963356138034, 48.105861106986595], [-1.683968020485548, 48.105864098669294], [-1.683972438286726, 48.105867368017186], [-1.683976333305622, 48.10587083617648], [-1.683979705460643, 48.10587450224948], [-1.683982822997154, 48.10587835710971], [-1.683985276733706, 48.10588232461655], [-1.683987341728883, 48.105886485473945], [-1.683989005696538, 48.105890659966455], [-1.68399000594542, 48.105894948003424], [-1.683990610557845, 48.1058993386628], [-1.683990537824717, 48.10590366320581], [-1.683990062723176, 48.1059080014386], [-1.683989044317064, 48.10591226809399], [-1.683987482687783, 48.10591646406971], [-1.68398537767214, 48.10592058757025], [-1.683982863555923, 48.10592463582784], [-1.683979927889925, 48.10592842733149], [-1.683976447659935, 48.10593214820997], [-1.683972672012343, 48.10593551979089], [-1.683968480287646, 48.10593872450278], [-1.683963999958558, 48.105941669747466], [-1.683959098079549, 48.10594435823802], [-1.683954040378669, 48.105946782752646], [-1.683948559869038, 48.10594895146544], [-1.683942918064878, 48.10595076631724], [-1.683937127089127, 48.10595240522795], [-1.683931035141815, 48.10595360405803], [-1.683924922836328, 48.105954534294284], [-1.683918788750815, 48.10595519509355], [-1.683912493289734, 48.105955501133934], [-1.683906171916555, 48.10595544779768], [-1.683899821950586, 48.10595503519398], [-1.683893718450901, 48.10595434402697], [-1.683887595852566, 48.10595338331376], [-1.683881580125119, 48.10595205871537], [-1.683875804051189, 48.105950365723324], [-1.683870141742952, 48.10594839957433], [-1.683864868096274, 48.10594623917713], [-1.683859701320835, 48.10594371489487], [-1.683854916557074, 48.10594090832952], [-1.683850519114545, 48.105937907570706], [-1.683846370819691, 48.10593462813963], [-1.68384274405046, 48.1059311508498], [-1.683839371901466, 48.105927484772835], [-1.683836529431385, 48.10592371061301], [-1.683834208486729, 48.10591973859459], [-1.68383228443837, 48.10591566300183], [-1.683830895459664, 48.105911568313594], [-1.68382989664562, 48.10590728111843], [-1.683829573836772, 48.105903060095166], [-1.683829653396349, 48.105898825382674], [-1.683830135324248, 48.10589457698098], [-1.683831294678882, 48.10589039559433], [-1.683832729091814, 48.10588629491197], [-1.68383483950928, 48.105882260401465], [-1.683837360529549, 48.105878302875254], [-1.683840297462046, 48.10587451042286], [-1.683843657201224, 48.1058709737724], [-1.683847558903353, 48.105867508754514], [-1.683851877857937, 48.10586420875568], [-1.683856485577914, 48.105861170019544], [-1.683861522835929, 48.105858476017836], [-1.683866841964827, 48.10585595255056], [-1.683872456590689, 48.105853779278505], [-1.683878366713592, 48.10585195620163], [-1.683884431316372, 48.10585039715484], [-1.68389065737525, 48.10584919376406], [-1.683897037914189, 48.1058482544033]]]]}";0;Non;Non;804;GROUPE SCOLAIRE LOUISE MICHEL;;;0050AJEUX02;;Equipe 10;500;NON;0050;1;10;141
48.1240808616, -1.705287066;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.70521155388382, 48.12407648837076], [-1.70531274146286, 48.1240337223598], [-1.705363318394346, 48.1240846021659], [-1.705260451491694, 48.1241282866528], [-1.70521155388382, 48.12407648837076]]]]}";0;;;87;SQUARE DE SAVOIE;;;0363AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/036302.jpg;Equipe 13;500;OUI;0363;10;13;57
48.1068501958, -1.68232206623;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.682291764438342, 48.10677747277906], [-1.682330019325563, 48.10677318994958], [-1.682358297384646, 48.10677555249668], [-1.682386054532704, 48.10678342472233], [-1.68240624427415, 48.10679605826917], [-1.682425693997697, 48.10681132877229], [-1.68243189885088, 48.106836236888995], [-1.682436003371641, 48.10686004652831], [-1.68243251128157, 48.10687241098251], [-1.682424533256709, 48.10688411923045], [-1.682412944159373, 48.10689784248117], [-1.682375131552963, 48.10692200854587], [-1.682354950420839, 48.1069253111189], [-1.682306438744153, 48.106927333662895], [-1.682272973458841, 48.106922178156395], [-1.682247375931348, 48.10691090107986], [-1.682230238986522, 48.106896001315796], [-1.682218793062136, 48.10688342794446], [-1.682209747933079, 48.10686005829386], [-1.682208735179642, 48.10683272116681], [-1.682213361534223, 48.10682112780663], [-1.682234278788025, 48.10679754083351], [-1.682253201044219, 48.10678653756879], [-1.682272084465936, 48.106780307994605], [-1.682291764438342, 48.10677747277906]]]]}";0;;;41;SQUARE DU PRE PERCHE;;;0092AJEUX01;;Equipe 10;500;OUI;0092;1;10;125
48.0804196867, -1.68742834622;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.68771887684137, 48.0805860117435], [-1.687520075874621, 48.08050955082815], [-1.687476324261588, 48.08051375496995], [-1.687430964612216, 48.08051098990216], [-1.687391206357039, 48.08050416130247], [-1.687360703467931, 48.080483059490966], [-1.687339530322873, 48.080459205443724], [-1.68732739617661, 48.08043053852495], [-1.687327802757567, 48.080411255798104], [-1.687336715763052, 48.08038898049562], [-1.687267228814717, 48.08038875481465], [-1.687218930828958, 48.080391493518206], [-1.687170163363394, 48.080386325390386], [-1.68712352216555, 48.08037910254017], [-1.68708837534618, 48.08037634788645], [-1.687054262534228, 48.08037832951026], [-1.687021149644665, 48.08038459825898], [-1.686993331672072, 48.08039158635777], [-1.686973226969115, 48.080416857373834], [-1.686986364860523, 48.08044107706694], [-1.687035731200843, 48.080487463591126], [-1.687059745524344, 48.080515091793885], [-1.687070887403364, 48.08053604896025], [-1.687069858428495, 48.08055949485895], [-1.687073025101681, 48.08057280180125], [-1.687066763100194, 48.08058580309135], [-1.687045315850614, 48.0805952733541], [-1.686991941863338, 48.0805966556089], [-1.686934951628022, 48.080587627302165], [-1.686894651141515, 48.08057370386452], [-1.686846535197246, 48.08054015002056], [-1.686821784496175, 48.080527493630825], [-1.686791770869791, 48.080521591075765], [-1.68676361079799, 48.08052408853536], [-1.686720909964, 48.080557879059384], [-1.686683672834173, 48.080576985189886], [-1.68665031017628, 48.08059406713783], [-1.686622379517819, 48.08059781762659], [-1.686606021151685, 48.080575418780136], [-1.686600877705537, 48.080532736834435], [-1.686600432765329, 48.08051636421742], [-1.686589368577084, 48.08047532583524], [-1.686578753347783, 48.080441924772934], [-1.686552773002982, 48.08039032306052], [-1.686538570057405, 48.08035218352722], [-1.686535999468592, 48.080327330973184], [-1.686544807299036, 48.08031424300708], [-1.686565392183178, 48.080302281360346], [-1.686598753507096, 48.080288710117095], [-1.686632124111098, 48.08028054140004], [-1.686656485628832, 48.08027754470258], [-1.686698610737133, 48.08028195040679], [-1.686751188815375, 48.08029653285005], [-1.686801763794954, 48.080304251393144], [-1.686829484449664, 48.0803065403923], [-1.686923187275936, 48.08030539477218], [-1.686993738839009, 48.080294958825704], [-1.687370487140478, 48.08026653647015], [-1.687578190212294, 48.080297762114895], [-1.687636774418358, 48.08029070824487], [-1.687745925153115, 48.08028777027511], [-1.687847036440893, 48.08029564342517], [-1.687890645893419, 48.08030445573494], [-1.687900183237969, 48.080311108649994], [-1.687923938946159, 48.08032786390465], [-1.687933134016842, 48.08035013851714], [-1.687925517553929, 48.08037299084315], [-1.687911625357701, 48.08038727394176], [-1.687884466451345, 48.0803995022298], [-1.687852460303738, 48.080402692109736], [-1.687778930666614, 48.08039081299778], [-1.687791090046449, 48.080418038010905], [-1.687796967129067, 48.08044394781207], [-1.687800806164449, 48.08048361385463], [-1.687799096186674, 48.08052626179303], [-1.687798581650457, 48.080545908466114], [-1.687790794211333, 48.08056004162376], [-1.687776337326976, 48.08057305377676], [-1.687751676545094, 48.080584435819766], [-1.68771887684137, 48.0805860117435]]], [[[-1.688042962128376, 48.08039029418106], [-1.688054478843778, 48.080356259722016], [-1.688087673753244, 48.08036220246727], [-1.688154148081982, 48.08033533861452], [-1.688212459611086, 48.08033000493798], [-1.688281310653149, 48.0803342135668], [-1.688334008678373, 48.08035212263583], [-1.688360154080174, 48.080372473867136], [-1.688393664641136, 48.08039599378256], [-1.688415169334006, 48.08045405203641], [-1.688408738262118, 48.08048065412294], [-1.688394682154615, 48.080504187329964], [-1.688383583857472, 48.08052599772236], [-1.688366765470072, 48.08054152212138], [-1.688340366462286, 48.080561787853746], [-1.688307999249763, 48.08057253379169], [-1.688259463314445, 48.080584465619886], [-1.688207955093605, 48.080590916628985], [-1.688150087256518, 48.08057921785324], [-1.688101307085252, 48.08055982335599], [-1.688064192078991, 48.0805366071974], [-1.688032242759371, 48.08050186803176], [-1.688025897495618, 48.0804768748213], [-1.688026678042048, 48.08043083705227], [-1.687995204361142, 48.080425753088996], [-1.688042962128376, 48.08039029418106]]]]}";0;Non;Non;790;PARC DE BREQUIGNY;;;0017AJEUX03;;Equipe 17;500;OUI;0017;12;17;344
